date,close
2021-03-30,5.5700
2021-03-29,5.3900
2021-03-26,5.4700
2021-03-25,5.4000
2021-03-24,5.2800
2021-03-23,5.1450
2021-03-22,5.4965
2021-03-19,5.8600
2021-03-18,5.9700
2021-03-17,6.1304
2021-03-16,6.0395
2021-03-15,6.1600
2021-03-12,6.0450
2021-03-11,6.0000
2021-03-10,5.8400
2021-03-09,5.9100
2021-03-08,5.8100
2021-03-05,5.8000
2021-03-04,5.9200
2021-03-03,6.0400
2021-03-02,5.7500
2021-03-01,5.8150
2021-02-26,5.2900
2021-02-25,5.2900
2021-02-24,5.5500
2021-02-23,5.2500
2021-02-22,5.0100
2021-02-19,4.6500
2021-02-18,4.4700
2021-02-17,4.4700
2021-02-16,4.5296
2021-02-12,4.2050
2021-02-11,4.1897
2021-02-10,4.2100
2021-02-09,4.3500
2021-02-08,4.4100
2021-02-05,4.3801
2021-02-04,4.2300
2021-02-03,4.1600
2021-02-02,4.1700
2021-02-01,3.9798
2021-01-29,3.9600
2021-01-28,4.0500
2021-01-27,3.8400
2021-01-26,3.9130
2021-01-25,3.9700
2021-01-22,4.2450
2021-01-21,4.4300
2021-01-20,4.4900
2021-01-19,4.4100
2021-01-15,4.4501
2021-01-14,4.4400
2021-01-13,4.2450
2021-01-12,4.3900
2021-01-11,4.2000
2021-01-08,4.3000
2021-01-07,4.3102
2021-01-06,4.3350
2021-01-05,4.1100
2021-01-04,4.1294
2020-12-31,4.3600
2020-12-30,4.4803
2020-12-29,4.4200
2020-12-28,4.4600
2020-12-24,4.4500
2020-12-23,4.3998
2020-12-22,4.1100
2020-12-21,3.9800
2020-12-18,4.3200
2020-12-17,4.4000
2020-12-16,4.3900
2020-12-15,4.3000
2020-12-14,4.2100
2020-12-11,4.2200
2020-12-10,4.3400
2020-12-09,4.4196
2020-12-08,4.3800
2020-12-07,4.5302
2020-12-04,4.6497
2020-12-03,4.5800
2020-12-02,4.4597
2020-12-01,4.4000
2020-11-30,4.1350
2020-11-27,4.3998
2020-11-25,4.6900
2020-11-24,4.6500
2020-11-23,4.4198
2020-11-20,4.1600
2020-11-19,4.1000
2020-11-18,4.1801
2020-11-17,4.1200
2020-11-16,4.1800
2020-11-13,3.8300
2020-11-12,3.7000
2020-11-11,3.8798
2020-11-10,3.6800
2020-11-09,3.4500
2020-11-06,2.7598
2020-11-05,2.7500
2020-11-04,2.7000
2020-11-03,2.6300
2020-11-02,2.5400
2020-10-30,2.5300
2020-10-29,2.4698
2020-10-28,2.4500
2020-10-27,2.5400
2020-10-26,2.6300
2020-10-23,2.8200
2020-10-22,2.7800
2020-10-21,2.6899
2020-10-20,2.8000
2020-10-19,2.6000
2020-10-16,2.6000
2020-10-15,2.5500
2020-10-14,2.5900
2020-10-13,2.6100
2020-10-12,2.7400
2020-10-09,2.7698
2020-10-08,2.9200
2020-10-07,4.1300
2020-10-06,4.0000
2020-10-05,4.2500
2020-10-02,4.1500
2020-10-01,3.9600
2020-09-30,4.0000
2020-09-29,4.1795
2020-09-28,4.2740
2020-09-25,4.2700
2020-09-24,4.6200
